student_id,attendance,assignment_score,midterm_score,study_hours,previous_grade,quiz_scores,participation,sleep_hours,risk_label
S163,72.4,44.1,40.7,1.2,65.0,26.0,29.2,7.0,1
S426,87.8,71.1,84.6,3.0,86.1,85.6,62.1,6.7,0
S139,67.2,57.8,65.0,1.1,63.8,36.0,48.3,4.3,1
S063,38.4,50.2,22.5,0.8,65.0,54.2,53.1,6.1,1
S136,75.0,45.4,24.1,1.0,54.8,62.1,54.1,5.5,1
S129,56.5,55.3,65.0,0.6,47.0,36.6,25.2,6.4,1
S477,86.9,93.0,79.4,4.4,65.4,72.0,78.6,7.5,0
S009,48.0,53.8,48.5,0.5,27.0,58.6,48.2,7.0,1
S327,80.0,69.4,69.7,4.5,82.3,57.3,64.5,5.8,0
S464,84.8,65.6,72.1,2.9,62.7,61.9,70.5,7.8,0
S065,67.2,58.2,48.7,0.8,65.0,37.7,42.3,3.0,1
S301,92.9,68.5,97.1,4.7,91.0,80.4,56.6,5.6,0
S015,29.1,29.8,53.7,1.0,51.5,59.4,34.6,7.0,1
S157,75.0,37.2,35.7,0.6,42.0,23.3,29.5,4.9,1
S041,66.1,57.1,31.4,1.2,29.9,48.6,38.9,3.8,1
S380,77.2,94.6,57.0,6.1,58.8,71.6,50.0,6.8,0
S469,68.5,81.4,65.7,4.7,71.9,83.2,71.6,9.0,0
S404,82.7,68.5,80.0,2.6,89.8,82.6,62.2,6.1,0
S217,93.7,96.7,75.6,4.7,78.6,89.5,62.4,9.0,0
S280,80.3,75.2,56.9,4.8,73.0,67.9,50.0,6.9,0
S435,93.4,84.5,82.7,6.0,62.9,56.4,67.0,7.1,0
S431,79.0,65.3,100.0,4.4,91.5,63.4,62.5,7.7,0
S338,60.0,79.2,82.6,5.1,63.0,80.9,92.5,7.4,0
S237,69.8,71.9,70.0,3.8,66.0,71.4,67.2,6.5,0
S208,90.6,84.5,54.7,5.0,79.6,74.0,74.6,8.4,0
S213,98.1,75.8,70.2,2.7,77.4,71.1,72.9,7.3,0
S296,94.2,64.7,83.8,5.0,71.2,76.7,70.9,6.7,0
S458,73.0,66.8,53.8,5.1,81.3,75.6,69.2,6.8,0
S252,80.8,74.4,57.8,3.0,71.4,80.6,75.0,7.3,0
S489,90.5,74.7,85.4,4.9,60.0,77.0,75.7,8.9,0
S487,80.8,78.9,55.8,4.6,87.3,58.3,63.3,7.6,0
S304,77.1,84.2,96.3,3.3,83.5,68.3,85.8,7.2,0
S351,81.6,82.0,87.9,2.1,64.9,73.9,57.9,6.5,0
S270,97.4,65.1,69.3,3.7,73.7,88.6,80.3,6.4,0
S202,100.0,81.8,79.4,4.2,84.1,64.9,68.6,8.5,0
S162,66.8,38.1,43.3,1.3,33.8,29.1,29.6,7.0,1
S044,50.5,42.2,65.0,0.0,52.3,39.2,40.8,4.6,1
S218,83.8,73.2,79.5,4.4,74.4,72.2,71.1,9.0,0
S402,77.5,87.6,80.2,4.7,72.8,75.0,62.0,6.9,0
S191,91.3,74.0,65.0,2.0,55.0,78.1,95.4,7.5,0
S310,77.3,77.6,50.0,2.4,71.6,75.1,59.9,7.8,0
S260,84.2,84.0,67.8,4.6,69.1,53.3,99.3,7.0,0
S106,61.1,49.4,32.9,0.1,48.3,55.2,55.1,7.0,1
S054,64.2,39.4,44.7,0.3,64.6,65.0,37.9,5.7,1
S390,80.2,76.0,80.2,3.9,80.9,81.4,83.5,7.8,0
S002,52.9,48.2,64.7,0.2,64.6,38.3,45.9,5.6,1
S442,72.0,82.5,82.1,3.7,77.5,50.0,60.2,8.2,0
S483,100.0,79.8,73.7,3.6,58.5,87.9,50.0,9.0,0
S050,28.6,42.3,61.3,2.2,35.1,60.5,45.2,7.0,1
S420,71.4,86.3,62.0,5.7,77.2,78.5,87.1,6.9,0
S081,51.7,42.2,27.4,3.0,54.1,59.5,44.8,4.4,1
S206,85.1,88.7,72.0,5.6,86.3,63.4,98.0,7.3,0
S035,67.3,65.0,33.4,1.2,64.3,65.0,45.7,5.4,1
S264,66.7,84.0,57.1,2.5,69.4,59.9,56.5,7.8,0
S428,83.9,84.5,67.4,4.8,78.7,73.3,96.6,7.5,0
S367,60.0,67.1,79.0,2.8,55.0,55.4,89.4,7.3,0
S092,69.5,65.0,43.5,1.6,54.5,36.2,60.6,4.2,1
S340,89.4,74.9,66.4,4.1,78.1,90.3,77.2,6.7,0
S474,87.1,61.9,80.3,3.4,77.3,74.6,81.4,7.1,0
S053,44.8,35.1,44.1,2.1,40.3,49.9,65.0,6.0,1
S346,89.9,71.3,67.7,4.5,67.6,53.2,78.0,7.8,0
S265,94.6,72.3,54.4,5.0,75.8,75.9,75.5,7.2,0
S242,98.7,76.2,69.3,5.7,73.7,79.6,82.1,7.5,0
S014,26.3,37.8,49.6,2.3,56.8,52.7,13.9,6.2,1
S316,81.7,58.4,52.8,4.4,77.0,54.5,68.1,5.2,0
S089,47.1,35.7,20.2,0.6,51.2,54.2,49.0,6.2,1
S388,90.8,79.7,86.8,3.8,66.7,59.5,50.0,6.8,0
S274,92.2,68.5,70.8,2.3,70.4,68.4,67.3,6.2,0
S167,67.3,50.9,51.0,2.4,55.4,39.0,29.9,4.7,1
S329,73.7,58.2,56.5,6.5,76.2,81.8,72.6,8.2,0
S493,83.9,69.8,51.5,4.0,55.0,61.7,79.1,5.0,0
S135,41.2,45.6,33.4,1.4,51.6,38.0,25.2,5.7,1
S307,64.3,88.9,67.7,7.5,64.8,59.6,50.0,7.0,0
S481,79.6,83.1,75.1,4.8,60.6,81.1,76.4,8.4,0
S320,76.0,70.9,74.3,3.0,76.2,67.8,78.1,5.8,0
S244,70.0,81.7,50.0,4.8,68.8,76.2,56.5,7.2,0
S055,70.5,56.2,37.7,2.4,40.6,44.1,56.6,5.1,1
S364,73.7,80.0,67.1,4.3,70.1,87.2,71.4,6.8,0
S051,59.9,61.1,21.7,0.0,40.9,25.2,55.0,5.7,1
S457,81.8,75.0,71.1,2.7,86.7,77.3,64.4,6.9,0
S175,59.2,45.4,33.3,1.4,51.6,62.9,37.2,4.7,1
S446,79.6,85.7,77.3,3.1,55.0,61.2,55.5,7.9,0
S190,75.6,92.1,75.2,5.2,77.7,69.9,63.5,6.8,0
S497,79.4,75.0,65.4,5.3,69.4,69.2,82.5,5.0,0
S188,86.6,64.3,76.7,2.9,79.0,73.7,50.5,7.3,0
S170,43.7,42.3,54.5,2.0,65.0,42.8,65.0,5.1,1
S059,60.0,40.2,45.7,3.3,41.7,16.4,30.6,6.6,1
S049,60.2,28.6,42.4,1.3,44.7,35.9,53.7,5.1,1
S345,76.7,74.1,69.0,6.9,86.3,56.6,50.0,8.6,0
S236,80.6,60.4,65.5,3.6,80.3,75.1,63.9,6.9,0
S253,86.2,67.9,85.4,3.9,71.6,88.5,88.6,8.3,0
S022,51.6,37.4,51.0,2.0,31.5,42.8,47.2,5.5,1
S314,70.3,57.5,66.8,3.7,96.2,65.1,60.9,7.1,0
S460,70.2,84.4,82.7,4.7,57.5,72.0,77.1,7.2,0
S161,40.4,46.2,47.8,2.1,54.4,65.0,21.3,5.9,1
S277,76.5,64.1,91.9,3.7,100.0,52.9,56.9,5.2,0
S444,90.4,82.1,65.3,3.2,55.8,75.4,86.3,5.0,0
S192,82.6,73.3,50.0,2.9,80.3,73.6,65.7,7.8,0
S386,79.1,60.0,77.2,3.2,68.6,73.9,74.8,7.5,0
S294,71.8,75.9,69.2,5.7,77.9,66.0,66.5,6.8,0
S414,100.0,81.5,64.8,4.0,57.6,83.7,86.9,6.2,0
S344,66.4,73.9,97.2,3.6,79.3,65.8,87.4,5.6,0
S258,99.3,80.1,80.1,4.3,62.0,77.7,78.3,9.0,0
S309,80.5,77.9,88.5,2.4,71.3,85.3,71.2,7.7,0
S150,59.5,35.9,24.6,0.4,45.6,65.0,60.5,7.0,1
S131,31.7,49.4,42.2,1.5,35.9,50.1,42.7,3.0,1
S152,60.2,61.9,65.0,0.6,45.3,45.5,33.6,4.7,1
S360,86.3,76.4,57.5,5.1,55.0,76.5,97.2,6.8,0
S100,51.5,36.2,29.2,2.8,52.4,39.2,27.3,5.6,1
S373,100.0,64.3,56.0,3.6,91.2,85.7,89.6,5.9,0
S088,59.9,10.0,24.7,1.7,57.5,47.6,21.6,7.0,1
S459,85.2,81.6,67.7,4.2,76.9,89.6,80.9,8.1,0
S331,85.7,84.6,77.7,4.6,68.9,81.8,55.5,6.8,0
S215,89.3,72.5,89.4,5.2,82.5,56.9,73.7,8.0,0
S467,77.3,72.4,77.1,5.0,80.0,71.5,69.8,7.3,0
S122,41.4,58.8,11.8,0.0,65.0,65.0,44.2,3.0,1
S500,72.6,76.6,85.4,5.6,55.3,70.6,71.2,7.4,0
S021,75.0,52.6,44.3,0.9,55.7,53.4,39.3,4.0,1
S189,100.0,84.5,70.8,5.1,60.0,62.4,55.7,8.3,0
S072,75.0,42.3,65.0,1.3,45.3,25.2,57.8,6.6,1
S107,75.0,55.9,42.5,2.7,54.7,50.5,29.7,7.0,1
S271,100.0,73.7,89.9,5.3,65.5,67.2,58.3,8.0,0
S349,68.4,80.6,69.8,5.2,68.2,68.3,91.5,6.9,0
S436,95.2,80.1,68.2,5.3,65.8,87.0,72.4,7.4,0
S103,49.9,40.8,30.2,1.4,53.2,13.5,30.4,5.3,1
